%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1517688522984682460,32,1517688511106416940,/gps,0,1,21.3117966667,-157.889281667,10.1,0.5625,0.0,0.0,0.0,0.5625,0.0,0.0,0.0,2.25,1
1517688523947802244,33,1517688512082122087,/gps,0,1,21.3117966667,-157.889281667,10.1,0.5625,0.0,0.0,0.0,0.5625,0.0,0.0,0.0,2.25,1
1517688524961099449,34,1517688513073702096,/gps,0,1,21.3117966667,-157.889281667,10.1,0.5625,0.0,0.0,0.0,0.5625,0.0,0.0,0.0,2.25,1
1517688525925396064,35,1517688514065293073,/gps,0,1,21.3117966667,-157.889281667,10.1,0.5625,0.0,0.0,0.0,0.5625,0.0,0.0,0.0,2.25,1
1517688526930420857,36,1517688515057106971,/gps,0,1,21.3117966667,-157.889281667,10.1,0.5625,0.0,0.0,0.0,0.5625,0.0,0.0,0.0,2.25,1
1517688527945787243,37,1517688516064891099,/gps,0,1,21.3117966667,-157.889281667,10.1,0.5625,0.0,0.0,0.0,0.5625,0.0,0.0,0.0,2.25,1
1517688528939900097,38,1517688517072403907,/gps,0,1,21.3117966667,-157.889281667,10.1,0.5625,0.0,0.0,0.0,0.5625,0.0,0.0,0.0,2.25,1
1517688529954450296,39,1517688518096080064,/gps,0,1,21.3117966667,-157.889281667,10.1,0.5625,0.0,0.0,0.0,0.5625,0.0,0.0,0.0,2.25,1
1517688530919723521,40,1517688519055721044,/gps,0,1,21.3117966667,-157.889281667,10.1,0.5625,0.0,0.0,0.0,0.5625,0.0,0.0,0.0,2.25,1
1517688532014076651,41,1517688520111598014,/gps,0,1,21.3117966667,-157.889281667,10.1,0.5625,0.0,0.0,0.0,0.5625,0.0,0.0,0.0,2.25,1
1517688532987369797,42,1517688521118923902,/gps,0,1,21.3117966667,-157.889281667,10.1,0.5625,0.0,0.0,0.0,0.5625,0.0,0.0,0.0,2.25,1
1517688534018169590,43,1517688522142708063,/gps,0,1,21.3117966667,-157.889281667,10.1,0.5625,0.0,0.0,0.0,0.5625,0.0,0.0,0.0,2.25,1
1517688534990179081,44,1517688523118645906,/gps,0,1,21.3117966667,-157.889281667,10.1,0.5625,0.0,0.0,0.0,0.5625,0.0,0.0,0.0,2.25,1
1517688535986821864,45,1517688524126183032,/gps,0,1,21.3117966667,-157.889281667,10.1,0.5625,0.0,0.0,0.0,0.5625,0.0,0.0,0.0,2.25,1
1517688537019986940,46,1517688525133738994,/gps,0,1,21.3117966667,-157.889281667,10.1,0.5625,0.0,0.0,0.0,0.5625,0.0,0.0,0.0,2.25,1
1517688538000632218,47,1517688526125444889,/gps,0,1,21.3117966667,-157.889281667,10.1,0.5625,0.0,0.0,0.0,0.5625,0.0,0.0,0.0,2.25,1
1517688538935965373,48,1517688527069199085,/gps,0,1,21.3117966667,-157.889281667,10.2,0.5625,0.0,0.0,0.0,0.5625,0.0,0.0,0.0,2.25,1
1517688539935049149,49,1517688528076983928,/gps,0,1,21.3117966667,-157.889281667,10.2,0.5625,0.0,0.0,0.0,0.5625,0.0,0.0,0.0,2.25,1
1517688540944407076,50,1517688529084336996,/gps,0,1,21.3117966667,-157.889281667,10.2,0.5625,0.0,0.0,0.0,0.5625,0.0,0.0,0.0,2.25,1
1517688541998050572,51,1517688530123980045,/gps,0,1,21.3117966667,-157.889281667,10.2,0.5625,0.0,0.0,0.0,0.5625,0.0,0.0,0.0,2.25,1
1517688542944209211,52,1517688531083581924,/gps,0,1,21.3117966667,-157.889281667,10.2,0.5625,0.0,0.0,0.0,0.5625,0.0,0.0,0.0,2.25,1
1517688543998328881,53,1517688532123342037,/gps,0,1,21.3117966667,-157.889281667,10.2,0.5625,0.0,0.0,0.0,0.5625,0.0,0.0,0.0,2.25,1
1517688544990704072,54,1517688533114937067,/gps,0,1,21.3117966667,-157.889281667,10.2,0.5625,0.0,0.0,0.0,0.5625,0.0,0.0,0.0,2.25,1
1517688545980263927,55,1517688534090714931,/gps,0,1,21.3117966667,-157.889281667,10.2,0.5625,0.0,0.0,0.0,0.5625,0.0,0.0,0.0,2.25,1
1517688547007752189,56,1517688535130320072,/gps,0,1,21.3117966667,-157.889281667,10.2,0.5625,0.0,0.0,0.0,0.5625,0.0,0.0,0.0,2.25,1
1517688547965793212,57,1517688536089850902,/gps,0,1,21.3117966667,-157.889281667,10.2,0.5625,0.0,0.0,0.0,0.5625,0.0,0.0,0.0,2.25,1
1517688548937441181,58,1517688537081459045,/gps,0,1,21.3117966667,-157.889281667,10.2,0.5625,0.0,0.0,0.0,0.5625,0.0,0.0,0.0,2.25,1
1517688549915849614,59,1517688538057337999,/gps,0,1,21.3117966667,-157.889281667,10.2,0.5625,0.0,0.0,0.0,0.5625,0.0,0.0,0.0,2.25,1
1517688550964071841,60,1517688539097146034,/gps,0,1,21.3117966667,-157.889281667,10.2,0.5625,0.0,0.0,0.0,0.5625,0.0,0.0,0.0,2.25,1
1517688551937349112,61,1517688540072604894,/gps,0,1,21.3117966667,-157.88928,10.2,0.5625,0.0,0.0,0.0,0.5625,0.0,0.0,0.0,2.25,1
1517688553015801980,62,1517688541128133058,/gps,0,1,21.3117966667,-157.88928,10.3,0.5625,0.0,0.0,0.0,0.5625,0.0,0.0,0.0,2.25,1
