%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1517688491968230082,1,1517688491967879056,/gps,1,1,21.3117266667,-157.889791667,11.6,0.5041,0.0,0.0,0.0,0.5041,0.0,0.0,0.0,2.0164,1
1517688492938504181,2,1517688492938313007,/gps,1,1,21.3117233333,-157.889786667,11.7,0.5041,0.0,0.0,0.0,0.5041,0.0,0.0,0.0,2.0164,1
1517688493974912815,3,1517688493974404096,/gps,1,1,21.3117216667,-157.889781667,11.7,0.5041,0.0,0.0,0.0,0.5041,0.0,0.0,0.0,2.0164,1
1517688494928845886,4,1517688494928659915,/gps,1,1,21.3117183333,-157.889776667,11.8,0.5041,0.0,0.0,0.0,0.5041,0.0,0.0,0.0,2.0164,1
1517688495994388546,5,1517688495994069099,/gps,1,1,21.311715,-157.889771667,11.8,0.5041,0.0,0.0,0.0,0.5041,0.0,0.0,0.0,2.0164,1
1517688496948181743,6,1517688496947705984,/gps,1,1,21.3117116667,-157.889768333,11.7,0.5041,0.0,0.0,0.0,0.5041,0.0,0.0,0.0,2.0164,1
1517688498011878348,7,1517688498011559009,/gps,1,1,21.31171,-157.889763333,11.7,0.5041,0.0,0.0,0.0,0.5041,0.0,0.0,0.0,2.0164,1
1517688499003493371,8,1517688499003202915,/gps,1,1,21.31171,-157.88976,11.7,0.5041,0.0,0.0,0.0,0.5041,0.0,0.0,0.0,2.0164,1
1517688500002343164,9,1517688500002085924,/gps,1,1,21.31171,-157.889755,11.8,0.5041,0.0,0.0,0.0,0.5041,0.0,0.0,0.0,2.0164,1
1517688500997714071,10,1517688500997504949,/gps,1,1,21.3117133333,-157.889751667,11.9,0.5041,0.0,0.0,0.0,0.5041,0.0,0.0,0.0,2.0164,1
1517688501932097515,11,1517688501931735038,/gps,1,1,21.3117183333,-157.889748333,12.1,0.5041,0.0,0.0,0.0,0.5041,0.0,0.0,0.0,2.0164,1
1517688502974324063,12,1517688502973947048,/gps,1,1,21.3117233333,-157.889746667,12.2,0.5041,0.0,0.0,0.0,0.5041,0.0,0.0,0.0,2.0164,1
1517688503967528009,13,1517688503967297077,/gps,1,1,21.3117266667,-157.889748333,12.3,0.5329,0.0,0.0,0.0,0.5329,0.0,0.0,0.0,2.1316,1
