%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1517688492087566019,1,1517688480105973958,/gps,1,1,21.3118233333,-157.889258333,12.3,0.5041,0.0,0.0,0.0,0.5041,0.0,0.0,0.0,2.0164,1
1517688492987358818,2,1517688481112982034,/gps,1,1,21.3118216667,-157.88926,12.3,0.5041,0.0,0.0,0.0,0.5041,0.0,0.0,0.0,2.0164,1
1517688493971213002,3,1517688482104387998,/gps,1,1,21.3118216667,-157.88926,12.3,0.5041,0.0,0.0,0.0,0.5041,0.0,0.0,0.0,2.0164,1
1517688494980350369,4,1517688483111834049,/gps,1,1,21.3118216667,-157.889261667,12.3,0.5041,0.0,0.0,0.0,0.5041,0.0,0.0,0.0,2.0164,1
1517688496046783899,5,1517688484150875091,/gps,1,1,21.3118216667,-157.889261667,12.3,0.5041,0.0,0.0,0.0,0.5041,0.0,0.0,0.0,2.0164,1
1517688496967143784,6,1517688485110315084,/gps,1,1,21.31182,-157.889263333,12.3,0.5041,0.0,0.0,0.0,0.5041,0.0,0.0,0.0,2.0164,1
1517688497989406006,7,1517688486101608037,/gps,1,1,21.3118183333,-157.889265,12.3,0.5041,0.0,0.0,0.0,0.5041,0.0,0.0,0.0,2.0164,1
1517688498978221044,8,1517688487108869075,/gps,1,1,21.3118183333,-157.889265,12.3,0.5041,0.0,0.0,0.0,0.5041,0.0,0.0,0.0,2.0164,1
1517688499897502495,9,1517688488036223888,/gps,1,1,21.3118183333,-157.889263333,12.3,0.5041,0.0,0.0,0.0,0.5041,0.0,0.0,0.0,2.0164,1
1517688500934777626,10,1517688489059470891,/gps,1,1,21.3118183333,-157.889263333,12.3,0.5041,0.0,0.0,0.0,0.5041,0.0,0.0,0.0,2.0164,1
1517688501983641410,11,1517688490082777023,/gps,1,1,21.3118183333,-157.889261667,12.3,0.5041,0.0,0.0,0.0,0.5041,0.0,0.0,0.0,2.0164,1
1517688502961014525,12,1517688491074011087,/gps,1,1,21.3118183333,-157.88926,12.3,0.5041,0.0,0.0,0.0,0.5041,0.0,0.0,0.0,2.0164,1
1517688503900190211,13,1517688492017683029,/gps,1,1,21.3118183333,-157.88926,12.3,0.5041,0.0,0.0,0.0,0.5041,0.0,0.0,0.0,2.0164,1
1517688504926667261,14,1517688493056870937,/gps,1,1,21.3118183333,-157.889258333,12.3,0.5041,0.0,0.0,0.0,0.5041,0.0,0.0,0.0,2.0164,1
1517688505932166340,15,1517688494064142942,/gps,1,1,21.3118183333,-157.889258333,12.3,0.5041,0.0,0.0,0.0,0.5041,0.0,0.0,0.0,2.0164,1
1517688506893203356,16,1517688495023626089,/gps,1,1,21.3118183333,-157.88926,12.3,0.5041,0.0,0.0,0.0,0.5041,0.0,0.0,0.0,2.0164,1
1517688507924854904,17,1517688496047074079,/gps,1,1,21.31182,-157.88926,12.3,0.5041,0.0,0.0,0.0,0.5041,0.0,0.0,0.0,2.0164,1
1517688508942622385,18,1517688497070319890,/gps,1,1,21.31182,-157.88926,12.3,0.5041,0.0,0.0,0.0,0.5041,0.0,0.0,0.0,2.0164,1
1517688509983365052,19,1517688498125390052,/gps,1,1,21.31182,-157.889261667,12.3,0.5041,0.0,0.0,0.0,0.5041,0.0,0.0,0.0,2.0164,1
1517688510976674194,20,1517688499101054906,/gps,1,1,21.3118216667,-157.889261667,12.3,0.5041,0.0,0.0,0.0,0.5041,0.0,0.0,0.0,2.0164,1
1517688511965807385,21,1517688500092415094,/gps,1,1,21.3118216667,-157.889263333,12.3,0.5041,0.0,0.0,0.0,0.5041,0.0,0.0,0.0,2.0164,1
1517688513012349884,22,1517688501131498098,/gps,1,1,21.3118216667,-157.889263333,12.3,0.5329,0.0,0.0,0.0,0.5329,0.0,0.0,0.0,2.1316,1
1517688513977072716,23,1517688502107047080,/gps,1,1,21.3118233333,-157.889261667,12.3,0.5041,0.0,0.0,0.0,0.5041,0.0,0.0,0.0,2.0164,1
1517688514952860022,24,1517688503082421064,/gps,1,1,21.3118216667,-157.889261667,12.3,0.5041,0.0,0.0,0.0,0.5041,0.0,0.0,0.0,2.0164,1
1517688515972241466,25,1517688504105639934,/gps,1,1,21.3118216667,-157.889261667,12.3,0.5041,0.0,0.0,0.0,0.5041,0.0,0.0,0.0,2.0164,1
1517688516976827399,26,1517688505112773895,/gps,1,1,21.3118216667,-157.88926,12.3,0.5041,0.0,0.0,0.0,0.5041,0.0,0.0,0.0,2.0164,1
1517688517942047599,27,1517688506072307109,/gps,1,1,21.3118216667,-157.889261667,12.3,0.5041,0.0,0.0,0.0,0.5041,0.0,0.0,0.0,2.0164,1
1517688518990225128,28,1517688507111610889,/gps,1,1,21.3118216667,-157.889261667,12.3,0.5041,0.0,0.0,0.0,0.5041,0.0,0.0,0.0,2.0164,1
1517688519956817228,29,1517688508086997032,/gps,1,1,21.31182,-157.889261667,12.3,0.5041,0.0,0.0,0.0,0.5041,0.0,0.0,0.0,2.0164,1
1517688520960762594,30,1517688509094363927,/gps,1,1,21.31182,-157.889261667,12.3,0.5041,0.0,0.0,0.0,0.5041,0.0,0.0,0.0,2.0164,1
1517688521949252355,31,1517688510053594112,/gps,1,1,21.31182,-157.889261667,12.3,0.5041,0.0,0.0,0.0,0.5041,0.0,0.0,0.0,2.0164,1
1517688522929057321,32,1517688511045070886,/gps,0,1,21.3118216667,-157.889261667,12.3,0.5041,0.0,0.0,0.0,0.5041,0.0,0.0,0.0,2.0164,1
1517688523962569762,33,1517688512100250959,/gps,0,1,21.3118216667,-157.889261667,12.3,0.5041,0.0,0.0,0.0,0.5041,0.0,0.0,0.0,2.0164,1
1517688524937737297,34,1517688513059849977,/gps,0,1,21.3118216667,-157.889261667,12.3,0.5041,0.0,0.0,0.0,0.5041,0.0,0.0,0.0,2.0164,1
1517688525925391277,35,1517688514066754102,/gps,0,1,21.3118216667,-157.889261667,12.3,0.5041,0.0,0.0,0.0,0.5041,0.0,0.0,0.0,2.0164,1
1517688526930425309,36,1517688515058203935,/gps,0,1,21.3118216667,-157.889261667,12.3,0.5041,0.0,0.0,0.0,0.5041,0.0,0.0,0.0,2.0164,1
1517688527950702704,37,1517688516065535068,/gps,0,1,21.3118233333,-157.889263333,12.3,0.5041,0.0,0.0,0.0,0.5041,0.0,0.0,0.0,2.0164,1
1517688528938166411,38,1517688517056925058,/gps,0,1,21.3118233333,-157.889263333,12.3,0.5041,0.0,0.0,0.0,0.5041,0.0,0.0,0.0,2.0164,1
1517688529925393256,39,1517688518063905000,/gps,0,1,21.3118233333,-157.889263333,12.3,0.5041,0.0,0.0,0.0,0.5041,0.0,0.0,0.0,2.0164,1
1517688530972119789,40,1517688519103272914,/gps,0,1,21.3118233333,-157.889263333,12.3,0.5041,0.0,0.0,0.0,0.5041,0.0,0.0,0.0,2.0164,1
1517688532014100068,41,1517688520110972881,/gps,0,1,21.3118233333,-157.889263333,12.3,0.5041,0.0,0.0,0.0,0.5041,0.0,0.0,0.0,2.0164,1
1517688532987376095,42,1517688521117818117,/gps,0,1,21.3118233333,-157.889263333,12.3,0.5041,0.0,0.0,0.0,0.5041,0.0,0.0,0.0,2.0164,1
1517688533964872735,43,1517688522109421968,/gps,0,1,21.3118216667,-157.889263333,12.3,0.5041,0.0,0.0,0.0,0.5041,0.0,0.0,0.0,2.0164,1
1517688534989965048,44,1517688523116914033,/gps,0,1,21.31182,-157.889263333,12.3,0.5041,0.0,0.0,0.0,0.5041,0.0,0.0,0.0,2.0164,1
1517688535977722528,45,1517688524108047962,/gps,0,1,21.31182,-157.889263333,12.3,0.5041,0.0,0.0,0.0,0.5041,0.0,0.0,0.0,2.0164,1
1517688536965398585,46,1517688525099483013,/gps,0,1,21.31182,-157.889263333,12.3,0.5041,0.0,0.0,0.0,0.5041,0.0,0.0,0.0,2.0164,1
1517688538000638398,47,1517688526122730016,/gps,0,1,21.3118183333,-157.889263333,12.3,0.5041,0.0,0.0,0.0,0.5041,0.0,0.0,0.0,2.0164,1
1517688538932115188,48,1517688527034322023,/gps,0,1,21.3118183333,-157.889265,12.3,0.5041,0.0,0.0,0.0,0.5041,0.0,0.0,0.0,2.0164,1
1517688539975525807,49,1517688528105518102,/gps,0,1,21.3118166667,-157.889265,12.3,0.5041,0.0,0.0,0.0,0.5041,0.0,0.0,0.0,2.0164,1
1517688540926253132,50,1517688529048953056,/gps,0,1,21.3118166667,-157.889265,12.3,0.5041,0.0,0.0,0.0,0.5041,0.0,0.0,0.0,2.0164,1
1517688541976581847,51,1517688530120197057,/gps,0,1,21.3118166667,-157.889265,12.3,0.5041,0.0,0.0,0.0,0.5041,0.0,0.0,0.0,2.0164,1
1517688542915362742,52,1517688531047554016,/gps,0,1,21.3118166667,-157.889265,12.3,0.5041,0.0,0.0,0.0,0.5041,0.0,0.0,0.0,2.0164,1
1517688543944193100,53,1517688532086721897,/gps,0,1,21.3118166667,-157.889265,12.3,0.5041,0.0,0.0,0.0,0.5041,0.0,0.0,0.0,2.0164,1
1517688544990749607,54,1517688533110348939,/gps,0,1,21.3118183333,-157.889266667,12.3,0.5041,0.0,0.0,0.0,0.5041,0.0,0.0,0.0,2.0164,1
1517688545937868622,55,1517688534069669008,/gps,0,1,21.3118183333,-157.889268333,12.3,0.5041,0.0,0.0,0.0,0.5041,0.0,0.0,0.0,2.0164,1
1517688546982097620,56,1517688535076884031,/gps,0,1,21.31182,-157.88927,12.3,0.5041,0.0,0.0,0.0,0.5041,0.0,0.0,0.0,2.0164,1
1517688547944042119,57,1517688536084249019,/gps,0,1,21.3118216667,-157.889271667,12.3,0.5041,0.0,0.0,0.0,0.5041,0.0,0.0,0.0,2.0164,1
1517688548921608845,58,1517688537043775081,/gps,0,1,21.3118216667,-157.889273333,12.3,0.5041,0.0,0.0,0.0,0.5041,0.0,0.0,0.0,2.0164,1
1517688549950617853,59,1517688538066776037,/gps,0,1,21.3118216667,-157.889273333,12.3,0.5041,0.0,0.0,0.0,0.5041,0.0,0.0,0.0,2.0164,1
1517688550930522151,60,1517688539058248043,/gps,0,1,21.3118233333,-157.889275,12.3,0.5041,0.0,0.0,0.0,0.5041,0.0,0.0,0.0,2.0164,1
1517688551999848989,61,1517688540129462003,/gps,0,1,21.3118233333,-157.889275,12.3,0.5041,0.0,0.0,0.0,0.5041,0.0,0.0,0.0,2.0164,1
1517688553015601753,62,1517688541120763063,/gps,0,1,21.3118233333,-157.889276667,12.3,0.5041,0.0,0.0,0.0,0.5041,0.0,0.0,0.0,2.0164,1
1517688554006684487,63,1517688542127978086,/gps,0,1,21.311825,-157.889276667,12.3,0.5041,0.0,0.0,0.0,0.5041,0.0,0.0,0.0,2.0164,1
1517688554978933711,64,1517688543103215932,/gps,0,1,21.3118266667,-157.889276667,12.3,0.5041,0.0,0.0,0.0,0.5041,0.0,0.0,0.0,2.0164,1
1517688555954620570,65,1517688544094700098,/gps,0,1,21.3118266667,-157.889276667,12.3,0.5329,0.0,0.0,0.0,0.5329,0.0,0.0,0.0,2.1316,1
1517688557005824296,66,1517688545134008884,/gps,0,1,21.3118283333,-157.889276667,12.3,0.5329,0.0,0.0,0.0,0.5329,0.0,0.0,0.0,2.1316,1
1517688557999361024,67,1517688546125257015,/gps,0,1,21.3118283333,-157.889276667,12.3,0.5329,0.0,0.0,0.0,0.5329,0.0,0.0,0.0,2.1316,1
1517688559004636835,68,1517688547132570981,/gps,0,1,21.31183,-157.889276667,12.4,0.5329,0.0,0.0,0.0,0.5329,0.0,0.0,0.0,2.1316,1
1517688559940636622,69,1517688548060009002,/gps,0,1,21.31183,-157.889276667,12.4,0.5041,0.0,0.0,0.0,0.5041,0.0,0.0,0.0,2.0164,1
1517688561004741410,70,1517688549115336894,/gps,0,1,21.31183,-157.889276667,12.4,0.5041,0.0,0.0,0.0,0.5041,0.0,0.0,0.0,2.0164,1
1517688561929031068,71,1517688550058868885,/gps,0,1,21.3118316667,-157.889276667,12.4,0.5041,0.0,0.0,0.0,0.5041,0.0,0.0,0.0,2.0164,1
1517688562977717896,72,1517688551114239931,/gps,0,1,21.3118316667,-157.889276667,12.4,0.5329,0.0,0.0,0.0,0.5329,0.0,0.0,0.0,2.1316,1
1517688563932584130,73,1517688552057615041,/gps,0,1,21.3118316667,-157.889276667,12.4,0.5329,0.0,0.0,0.0,0.5329,0.0,0.0,0.0,2.1316,1
1517688564964200974,74,1517688553096541881,/gps,0,1,21.3118316667,-157.889276667,12.4,0.5329,0.0,0.0,0.0,0.5329,0.0,0.0,0.0,2.1316,1
1517688565974754125,75,1517688554087845087,/gps,0,1,21.3118316667,-157.889276667,12.4,0.5329,0.0,0.0,0.0,0.5329,0.0,0.0,0.0,2.1316,1
1517688566962419369,76,1517688555063443899,/gps,0,1,21.3118316667,-157.889276667,12.4,0.5041,0.0,0.0,0.0,0.5041,0.0,0.0,0.0,2.0164,1
1517688567933868601,77,1517688556054940938,/gps,0,1,21.3118316667,-157.889275,12.4,0.5041,0.0,0.0,0.0,0.5041,0.0,0.0,0.0,2.0164,1
